CDP,Region,Subregion,Technology,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52
CDP3,QLD,NQ,Offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,NQ,Wind,375.64,375.64,375.64,1673.78479005,1688.83104335,1859.53823496,3045.22342181,3231.35879604,3289.15396323,3486.56705484,3547.73877712,3749.9139483300005,3832.6591866,3832.6591866,3832.6591866,3832.6591866,3832.6591866,3832.6591866,3832.6591866,3832.6591866,3690.97633158,5855.794170810001,5855.79419683,5812.594196829999,5812.594196829999,5752.92592954,5768.19981115,5768.19981115,5768.19981115
CDP3,QLD,NQ,Utility solar,521.6,521.6,521.6,521.60000288,521.6000086,521.6000086,521.60001594,1008.8361554700001,1008.8361554700001,1008.8361554700001,1008.8361554700001,1008.8361554700001,1008.8361576000001,1008.8361576000001,960.3361576,960.3361576,960.3361576,960.3361576,1398.94077853,1277.78077853,1161.8207785299999,1563.62040157,1563.62040157,1548.62040157,1448.64040157,1427.67040157,1653.0842717799999,1553.05427178,1553.05427178
CDP3,QLD,NQ,Distributed PV,696.1879514842508,760.5864142,827.5845165,897.1979178,970.2880576,1060.445832,1137.478,1212.187781,1280.626464,1351.428591,1422.832719,1493.500925,1563.777325,1625.131799,1687.322784,1742.767211,1819.690119,1904.490246,1972.736254,2032.600378,2092.213976,2157.832955,2237.152458,2307.50238,2400.32851,2507.372042,2600.541019,2677.962739,2755.021758
CDP3,QLD,NQ,Other renewable fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,NQ,DSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Black coal,1680,1680,1680,1680,1400,1400,840,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Mid-merit gas,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,0,0
CDP3,QLD,GG,Flexible gas with CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Flexible gas,0,0,0,0,0,0,0,530,530,530,530,530,792.87960368,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758,1059.99998758
CDP3,QLD,GG,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Utility storage,0,0,400,400,400.00000566,400.00000566,400.00001269,400.00001593,400.00001847,400.00002437,400.00003088,400.00010639,400.00010639,400.00010639,400.00011978,400.00012267,400.00012524,400.00012524,400.00012865,400.00013288,400.00014872,400.0001575,1.7677e-4,1.7677e-4,1.7111e-4,229.35673672,229.35672968,229.35672644,229.3567239
CDP3,QLD,GG,Coordinated CER storage,0.30842975050499005,0.67748227,1.44256405,2.28235269,3.39669314,4.77151221,7.16527303,9.47735168,11.94891492,14.69255445,17.7578745,21.06203909,24.80903257,28.22065297,31.943026760000002,36.04346527,39.95100017,44.043448139999995,48.24932646,52.6525562,57.188742070000004,61.970728030000004,67.01854123,71.95775925000001,77.03422712,82.30564225,87.29993226,89.24350188,91.17499947
CDP3,QLD,GG,Passive CER storage,1.018894146,1.417459284,2.194393238,2.828973141,3.472507535,4.0619427870000004,4.87733286,5.850818277,6.775667354,7.668713509,8.557885821,9.407935826,10.28714951,10.92837598,11.55554008,12.16527069,12.62254182,12.98629544,13.29210232,13.53108326,13.7029208,13.85920501,14.02402447,14.07464601,14.106491,14.05675952,13.93385034,14.43406404,14.91255497
CDP3,QLD,GG,Offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Utility solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,Distributed PV,66.68966778203962,72.46084653,78.20620087,84.41730533,91.41260359,98.81436431,106.1660275,113.2898604,120.6412543,132.6052882,139.51942,146.473222,153.146751,159.4465463,165.3027048,170.9035619,176.5981471,182.11504299999999,187.6646499,198.5611974,204.3547247,210.8654035,217.8619854,225.3708972,233.0446276,240.5986794,248.1209767,260.6827385,268.4938112
CDP3,QLD,GG,Other renewable fuels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,GG,DSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Black coal,3004,3004,3004,3004,1939,1574,1574,1574,1574,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Mid-merit gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Flexible gas with CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Flexible gas,37,37,37,37,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Utility storage,50,50,50,50,200.00000682,200.00000881,200.00003107,280.67563475,280.67563827,280.67564090999997,280.67566596,280.67570969999997,280.67570969999997,280.67570969999997,280.67572296000003,280.67572452,280.67573077,280.67573251,280.67573251,230.67573789,230.67574185,230.67575591,230.6757694,230.6757694,80.67576258,310.60271159,310.60268934,310.60268934,315.70419668
CDP3,QLD,CQ,Coordinated CER storage,5.15894831221716,11.25916606,23.76038328,37.24309809,55.05809781,76.58647849,114.2257809,148.76450343,184.6324605,223.99554451999998,267.25367173,313.39311668,365.60507257,411.49849820000003,461.63541274,516.65719,567.93294835,621.5396198999999,676.1484062,732.7637285999999,791.1597504,852.2925092999999,916.7470699,978.5806523,1042.3117778,1108.2940411,1171.1645445,1198.9778407,1226.4897882
CDP3,QLD,CQ,Passive CER storage,17.04252663,23.55694032,36.14371528,46.16277075,56.28699789,65.1973379,77.7523972,92.71623958,106.6577471,120.1493441,133.4045526,146.0432587,159.1408428,168.4005337,177.5582732,186.3874101,192.8781027,198.0489888,202.3457865,205.5393321,207.8918742,209.9407079,212.1182236,212.5006422,212.7616529,211.7995621,209.7442544,217.1822437,224.2606811
CDP3,QLD,CQ,Offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDP3,QLD,CQ,Wind,300,300,439,613.31697215,1676.20288733,1899.19302948,2465.35892023,4146.79544529,4146.79545185,4146.79547617,5290.09361736,5651.26606072,5999.30823303,5999.30823303,5999.30823303,5999.30823303,5999.30823303,5999.30823303,5999.30823303,5999.30823303,5999.30823303,6829.9716800900005,6908.572146920001,7292.665018430001,7416.255071189999,7416.255071189999,7355.468337220001,7355.468337220001,7355.468337220001
CDP3,QLD,CQ,Utility solar,788.1700000000001,788.1700000000001,788.1700000000001,788.1700094300002,788.17005544,788.17005544,1057.04227016,2053.96546035,2053.96546159,2053.96546159,2555.68187165,3440.1056903100002,3440.10569475,3440.1056961100003,3440.1056973600002,3440.1056973600002,3703.89871354,3703.89871354,5482.5784243299995,5818.50336274,6092.34157353,6049.84157353,8078.31937782,8078.31937782,9468.442166859999,10455.166387790001,12889.158119400001,12863.29722254,12863.29722254
CDP3,QLD,CQ,Distributed PV,780.1021178309229,846.5976067,913.082856,985.4534836,1068.196893,1160.272301,1261.419138,1359.874981,1453.862654,1569.191488,1653.155294,1744.270986,1825.950937,1910.720283,1994.180691,2079.08736,2159.2084,2244.716748,2361.170302,2469.393617,2551.945493,2647.582335,2749.117388,2850.039997,2948.95809,3057.107369,3180.779808,3311.022226,3426.648771
