date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Wind (Curtailment) - MW,Solar (Utility) (Curtailment) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-12-09T16:55:00Z,-119.11,0,389.12,0,45,0,0.28,0,17.88,498.61,389.3,0,107.58,88.52,28.93,0,24.36,0,2.16,0,0.02,0,719.01,-7.83
2025-12-09T17:00:00Z,-68.12,0,351.67,0,43,0,0.28,0,13.17,531.02,402.14,1073.22,63.28,87.89,28.8,0,21.84,0,2.06,0,0.02,0,174.7,-7.81
2025-12-09T17:05:00Z,-70.11,0,368,0,41,0,0.28,0,15.81,590.55,391.59,1015.86,38.2,89.87,28.42,0,23.07,0,1.97,0,0.02,0,185.92,0
2025-12-09T17:10:00Z,-79.07,0,241.25,0,40,0,0.28,0,15.38,650.01,461.35,958.5,6.03,1.37,28.03,0,15.07,0,1.92,0,0.02,0,113.07,-7
2025-12-09T17:15:00Z,-65.87,0,237.58,0,42,0,0.28,0,29.01,677.53,455.91,901.15,8.19,9.01,27.65,0,15.17,0,2.02,0,0.02,0,114.54,58.69
2025-12-09T17:20:00Z,-6.85,0,202.69,0,40,0,0.28,0,8.96,697.3,450.68,843.79,6.72,0,27.27,0,12.99,0,1.92,0,0.02,0,97.79,14.56
2025-12-09T17:25:00Z,-121.95,0,328.04,0,40,0,0.28,0,16.39,733.7,445.33,786.43,6.72,0,26.88,0,21.23,0,1.92,0,0.02,0,176.88,9.18
2025-12-09T17:30:00Z,-35.54,0,265.38,0,41,0,0.27,0,27.53,727.39,434.87,729.08,7.08,0.25,26.5,0,17.12,0,1.97,0,0.02,0,138.18,13.16
2025-12-09T17:35:00Z,-9.39,0,282.22,0,42,0,0.28,0,37.27,702.32,428.26,688.74,6.72,0,26.4,0,18.33,0,2.02,0,0.02,0,152.06,0
2025-12-09T17:40:00Z,-22.51,0,376.27,0,40,0,0.28,0,0.11,695.91,417.49,648.4,10.15,0.04,26.3,0,24.4,0,1.92,0,0.02,0,225.23,0
2025-12-09T17:45:00Z,-12.83,0,413.02,0,40,0,0.28,0,0.15,694.34,384.68,608.06,11.49,0.99,26.2,0,26.62,0,1.92,0,0.02,0,263.27,11.26
2025-12-09T17:50:00Z,-4.32,0,393.44,0,40,0,0.28,0,0.38,735.42,377.19,567.72,5.41,1.72,26.1,0,25.98,0,1.92,0,0.02,0,253.22,-3.95
2025-12-09T17:55:00Z,-18.47,0,468.83,0,42,0,0.28,0,5.9,761.59,314.6,527.38,6.37,0,26,0,31.44,0,2.02,0,0.02,0,344.94,0
