date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-04-06 16:35,-0.03,-207.88,0.00,0.01,43.00,44.03,0.11,0.00,25.50,794.30,315.84,0.00,20.50,0.60,0.00,0.00,2.06,1.47,0.01,0.00,34.79,-23.57
2025-04-06 16:40,-0.09,-127.82,0.00,0.01,41.00,43.36,0.10,0.00,20.66,734.36,267.47,0.00,20.60,0.40,0.00,0.00,1.97,1.45,0.01,0.00,37.15,-22.00
2025-04-06 16:45,-50.41,-95.89,0.00,0.01,39.00,42.69,0.11,0.00,0.16,799.30,259.04,0.00,20.70,0.28,0.00,0.00,1.87,1.43,0.01,0.00,36.58,-21.23
2025-04-06 16:50,-28.98,-61.65,0.00,0.01,40.00,43.36,0.11,0.00,0.27,835.70,288.32,0.00,20.80,0.17,0.00,0.00,1.92,1.45,0.01,0.00,34.44,-20.88
2025-04-06 16:55,-15.06,-11.81,0.00,0.01,41.00,43.36,0.11,0.00,0.41,845.87,220.68,0.00,20.90,0.04,0.00,0.00,1.97,1.45,0.01,0.00,36.19,-19.65
2025-04-06 17:00,-0.08,-100.66,0.00,0.01,44.00,42.69,0.11,0.00,20.61,982.57,225.64,480.68,21.00,0.27,0.00,0.00,2.11,1.43,0.01,0.00,23.19,-2.46
2025-04-06 17:05,-8.45,-116.50,0.00,0.01,41.00,42.69,0.11,0.00,0.34,1087.51,230.92,443.20,20.93,0.28,0.00,0.00,1.97,1.43,0.01,0.00,21.77,-20.00
2025-04-06 17:10,-28.81,-129.17,0.00,0.01,51.00,43.36,0.11,0.00,2.06,1022.75,212.80,405.72,20.87,0.38,0.00,0.00,2.45,1.45,0.01,0.00,26.80,-20.10
2025-04-06 17:15,-3.60,-85.76,0.00,0.01,61.00,43.36,0.11,0.00,7.57,949.01,207.80,368.23,20.80,0.30,0.00,0.00,2.93,1.45,0.01,0.00,31.71,-20.10
2025-04-06 17:20,-12.23,-28.54,0.00,0.01,62.00,42.69,0.11,0.00,3.08,923.08,172.41,330.75,20.73,0.10,0.00,0.00,2.98,1.43,0.01,0.00,34.61,-8.50
2025-04-06 17:25,-15.30,-54.85,0.00,0.01,64.00,43.36,0.11,0.00,12.56,989.37,164.04,293.27,20.67,0.20,0.00,0.00,3.07,1.45,0.01,0.00,34.76,0.00
2025-04-06 17:30,-2.72,0.00,36.19,0.01,68.00,42.69,0.11,16.57,37.33,1112.24,147.81,255.79,20.60,0.00,1.45,0.00,3.26,1.43,0.01,0.81,50.88,34.61
2025-04-06 17:35,-0.03,0.00,17.98,0.01,71.00,43.36,0.11,79.32,49.29,1076.64,131.28,233.41,20.62,0.00,0.75,0.00,3.41,1.45,0.01,3.90,68.48,106.40
2025-04-06 17:40,-0.13,0.00,28.50,0.01,65.00,43.36,0.11,80.96,29.51,1101.27,119.07,211.03,20.63,0.00,1.24,0.00,3.12,1.45,0.01,3.98,72.50,-22.68
2025-04-06 17:45,-3.50,0.00,291.94,0.01,63.00,43.36,0.11,9.92,8.38,760.34,98.73,188.65,20.65,0.00,13.22,0.00,3.02,1.45,0.01,0.49,248.92,-20.10
2025-04-06 17:50,-7.77,0.00,451.05,0.01,62.00,44.03,0.11,0.00,10.58,888.67,89.37,166.27,20.67,0.00,20.57,0.00,2.98,1.47,0.01,0.00,374.40,-8.50
2025-04-06 17:55,-27.35,0.00,424.42,0.01,62.00,43.36,0.11,0.00,3.24,983.95,73.25,143.89,20.68,0.00,19.47,0.00,2.98,1.45,0.01,0.00,334.29,9.42
2025-04-06 18:00,-13.46,0.00,339.03,0.01,62.00,44.03,0.11,80.43,6.44,1083.72,59.77,121.51,20.70,0.00,16.01,0.00,2.98,1.47,0.01,3.95,265.11,103.40
2025-04-06 18:05,-2.99,0.00,345.88,0.01,63.00,43.36,0.11,80.06,19.83,1082.59,48.01,105.33,20.47,0.00,16.64,0.00,3.02,1.45,0.01,3.93,275.03,36.64
2025-04-06 18:10,-0.49,0.00,154.82,0.01,76.00,43.36,0.11,168.93,25.75,1083.79,38.04,89.16,20.23,0.00,7.67,0.00,3.65,1.45,0.01,8.30,184.68,61.50
2025-04-06 18:15,-14.95,0.00,195.77,0.01,95.00,44.03,0.11,174.21,0.26,1061.26,27.15,72.98,20.00,0.00,9.97,0.00,4.56,1.47,0.01,8.56,233.26,83.59
2025-04-06 18:20,-26.82,0.00,197.15,0.01,113.00,43.36,0.11,174.06,20.96,1070.27,20.43,56.80,19.77,0.00,10.37,0.00,5.42,1.45,0.01,8.55,242.87,125.38
2025-04-06 18:25,-0.34,0.00,183.10,0.01,129.00,44.03,0.11,168.20,21.34,1045.41,10.74,40.62,19.53,0.00,9.71,0.00,6.19,1.47,0.01,8.27,241.20,115.90
2025-04-06 18:30,-0.14,0.00,134.98,0.01,152.00,44.03,0.11,173.88,83.00,1038.72,5.20,24.44,19.30,0.00,7.24,0.00,7.29,1.47,0.01,8.54,212.58,126.00
