date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2025-02-12T09:40:00Z,-16.81,-2.3,0,0.01,122,268.08,0.11,0,0.34,1045.58,492.42,0,35.7,0.02,0,0,5.85,9.14,0.01,0,94.17,70.02
2025-02-12T09:45:00Z,-78.56,-22.05,0,0.01,120,209.84,0.11,0,0,1004.23,494.87,0,35.95,0.16,0,0,5.76,7.17,0.01,0,88.76,92.85
2025-02-12T09:50:00Z,-29.01,-46.98,0,0.01,132,195.65,0.11,0,0.44,997.72,500.78,0,36.2,0.34,0,0,6.33,6.69,0.01,0,87.05,129.45
2025-02-12T09:55:00Z,-2.61,-106.16,0,0.01,119,273.8,0.11,0,11.33,976.88,509.92,0,36.45,0.84,0,0,5.71,9.33,0.01,0,95.65,81.89
2025-02-12T10:00:00Z,-39.95,-45.59,0,0.36,129,210.96,0.11,0,9.29,957.27,511.32,1104.8,36.7,0.34,0,0.03,6.19,7.21,0.01,0,55.43,100
2025-02-12T10:05:00Z,-8.49,-1.08,0,0.01,122,214.95,0.11,0,12.44,933.68,518.01,1128.99,36.75,0.01,0,0,5.85,7.36,0.01,0,54.29,138.04
2025-02-12T10:10:00Z,-4.08,-30.73,0,0.01,161,277.73,0.11,0,8.95,888.96,517.22,1153.18,36.8,0.29,0,0,7.73,9.47,0.01,0,68.3,94.24
2025-02-12T10:15:00Z,-41.48,0,48.03,0.01,124,202.6,0.11,0,6.3,871.88,522.69,1177.37,36.85,0,3.54,0,5.95,6.93,0.01,0,70.04,132.43
2025-02-12T10:20:00Z,-15.22,0,34.84,0.01,123,273.63,0.11,0,2.98,834.44,529.41,1201.57,36.9,0,2.6,0,5.9,9.33,0.01,0,73.43,160.28
2025-02-12T10:25:00Z,-6.1,-3.67,0,0.01,167,309.69,0.11,3.74,0,803.37,528.57,1225.76,36.95,0.04,0,0,8.01,10.54,0.01,0.18,74.12,90.97
2025-02-12T10:30:00Z,-97.05,0,110.85,0.05,129,239.3,0.11,15.52,0,773.75,533.23,1249.95,37,0,8.07,0.01,6.19,8.16,0.01,0.76,101.83,147.63
2025-02-12T10:35:00Z,-30.5,0,20.39,0.05,165,298.11,0.1,15.5,0,752.63,540.69,1269.15,37.23,0,1.54,0.01,7.92,10.14,0.01,0.76,81.75,70.02
2025-02-12T10:40:00Z,-146.51,0,159.71,0.05,147,235.26,0.11,0,0.39,728.83,538.43,1288.34,37.47,0,11.72,0.01,7.05,8.03,0.01,0,122.25,105.81
2025-02-12T10:45:00Z,-52.63,0,245.26,0.01,130,242.63,0.11,0,13.1,721.97,543.25,1307.54,37.7,0,17.93,0,6.24,8.29,0.01,0,146.42,175.05
2025-02-12T10:50:00Z,-12.11,0,179.86,0.05,170,312.44,0.11,0,0,694.55,543.86,1326.73,37.93,0,13.53,0.01,8.16,10.63,0.01,0,135.86,135.87
2025-02-12T10:55:00Z,-188.49,0,267.91,0.01,154,315.57,0.11,0,4.99,696.95,546.76,1345.93,38.17,0,19.83,0,7.39,10.74,0.01,0,174.67,137.36
2025-02-12T11:00:00Z,-213.98,0,307.39,0.01,160,310.2,0.11,0,2.54,659.1,552.7,1365.13,38.4,0,22.49,0,7.68,10.56,0.01,0,193.33,175.05
2025-02-12T11:05:00Z,-101.01,0,238.04,0.01,205,366.67,0.11,0,1.16,630.54,557.83,1379.69,38.63,0,17.92,0,9.84,12.45,0.01,0,172.22,138.04
2025-02-12T11:10:00Z,-185.87,0,305.43,0.05,199,313.32,0.1,0,1.27,636.38,560.88,1394.26,38.87,0,22.08,0.01,9.55,10.66,0.01,0,194.2,103.19
2025-02-12T11:15:00Z,-182.8,0,290.58,0.05,178,261.24,0.11,132.42,3.1,596.25,562.77,1408.82,39.1,0,21.15,0.01,8.54,8.92,0.01,6.51,202.88,175.05
2025-02-12T11:20:00Z,-144.58,0,114.63,0.05,220,308.75,15.8,159.01,0.26,559.95,563.58,1423.39,39.33,0,8.54,0.01,10.56,10.51,0.96,7.81,153.97,112.44
2025-02-12T11:25:00Z,-208.96,0,198.9,0.05,186,272.03,16,147.6,0.2,541.91,559.38,1437.95,39.57,0,14.51,0.01,8.93,9.28,0.97,7.25,178.47,134.68
2025-02-12T11:30:00Z,-205.16,0,175.53,0.05,176,306.11,16.06,152.42,0.1,554.2,563.99,1452.52,39.8,0,12.73,0.01,8.45,10.42,0.98,7.49,169.22,170.44
