"Time","OPERATIONAL_DEMAND NSW1","OPERATIONAL_DEMAND QLD1","OPERATIONAL_DEMAND SA1","OPERATIONAL_DEMAND TAS1","OPERATIONAL_DEMAND VIC1"
2024-06-03 14:00:00,7581,4637,1585,1333,5813
2024-06-03 14:30:00,7457,4909,1652,1352,5806
2024-06-03 15:00:00,7879,5257,1758,1357,5870
2024-06-03 15:30:00,8174,5715,1791,1352,6126
2024-06-03 16:00:00,8696,6230,1745,1378,6481
2024-06-03 16:30:00,9321,6748,1747,1387,6746
2024-06-03 17:00:00,10034,7209,1919,1413,7078
2024-06-03 17:30:00,10718,7724,2079,1461,7450
2024-06-03 18:00:00,11292,8013,2223,1489,7698
2024-06-03 18:30:00,11361,7973,2324,1476,7646
2024-06-03 19:00:00,11226,7850,2361,1444,7486
2024-06-03 19:30:00,10997,7686,2340,1412,7324
2024-06-03 20:00:00,10800,7585,2277,1377,7151
2024-06-03 20:30:00,10599,7548,2214,1370,6944
2024-06-03 21:00:00,10357,7388,2145,1367,6743
2024-06-03 21:30:00,9936,7168,2050,1330,6505
2024-06-03 22:00:00,9562,6912,1950,1290,6206
2024-06-03 22:30:00,9270,6666,1850,1276,5907
2024-06-03 23:00:00,9033,6452,1724,1246,5680
2024-06-03 23:30:00,8795,6296,1629,1199,5622
2024-06-04 00:00:00,8597,6085,1636,1182,5535
2024-06-04 00:30:00,8496,5960,1623,1161,5358
2024-06-04 01:00:00,8245,5819,1648,1126,5139
2024-06-04 01:30:00,8028,5766,1602,1127,5029
2024-06-04 02:00:00,7762,5695,1561,1132,4865
2024-06-04 02:30:00,7607,5642,1508,1129,4742
2024-06-04 03:00:00,7378,5658,1443,1129,4699
2024-06-04 03:30:00,7252,5682,1398,1130,4637
2024-06-04 04:00:00,7192,5677,1376,1137,4624
2024-06-04 04:30:00,7239,5783,1360,1148,4651
2024-06-04 05:00:00,7375,5929,1365,1154,4713
2024-06-04 05:30:00,7705,6194,1398,1187,4938
2024-06-04 06:00:00,8101,6491,1414,1225,5183
2024-06-04 06:30:00,8798,6884,1497,1306,5649
2024-06-04 07:00:00,9546,7162,1585,1393,6205
2024-06-04 07:30:00,10171,7260,1700,1437,6663
2024-06-04 08:00:00,10302,6949,1841,1471,7094
2024-06-04 08:30:00,10113,6446,1930,1473,7219
2024-06-04 09:00:00,9537,5984,1977,1434,7140
2024-06-04 09:30:00,9113,5699,1955,1389,6998
2024-06-04 10:00:00,8594,5245,1933,1331,6764
2024-06-04 10:30:00,8110,4858,1855,1290,6523
2024-06-04 11:00:00,7763,4704,1779,1241,6172
2024-06-04 11:30:00,7438,4610,1652,1201,5870
2024-06-04 12:00:00,7501,4550,1535,1202,5953
2024-06-04 12:30:00,7648,4407,1498,1204,6135
2024-06-04 13:00:00,7767,4378,1475,1202,6195
2024-06-04 13:30:00,7691,4498,1426,1089,6300
2024-06-04 14:00:00,7631,4727,1437,1186,6413
2024-06-04 14:30:00,8083,5006,1437,1234,6513
2024-06-04 15:00:00,8403,5420,1405,1225,6602
2024-06-04 15:30:00,8637,5878,1370,1245,6647
2024-06-04 16:00:00,9151,6423,1432,1270,6840
2024-06-04 16:30:00,9683,6822,1559,1267,7100
2024-06-04 17:00:00,10263,7288,1694,1324,7340
2024-06-04 17:30:00,10882,7659,1875,1399,7583
2024-06-04 18:00:00,11279,7927,2044,1438,7860
2024-06-04 18:30:00,11334,7948,2145,1429,7835
2024-06-04 19:00:00,11249,7901,2209,1431,7724
2024-06-04 19:30:00,10989,7888,2207,1425,7590
2024-06-04 20:00:00,10706,7886,2181,1420,7416
2024-06-04 20:30:00,10494,7767,2161,1429,7208
2024-06-04 21:00:00,10246,7596,2134,1402,7010
2024-06-04 21:30:00,9858,7334,2061,1363,6743
2024-06-04 22:00:00,9449,7007,1977,1330,6419
2024-06-04 22:30:00,9166,6781,1868,1290,6083
2024-06-04 23:00:00,8868,6544,1751,1241,5830
2024-06-04 23:30:00,8609,6329,1649,1213,5733
2024-06-05 00:00:00,8409,6174,1655,1192,5642
2024-06-05 00:30:00,8299,6034,1697,1166,5462
2024-06-05 01:00:00,8087,5881,1692,1140,5256
2024-06-05 01:30:00,7897,5789,1617,1122,5104
2024-06-05 02:00:00,7640,5762,1577,1111,4951
2024-06-05 02:30:00,7398,5759,1507,1114,4797
2024-06-05 03:00:00,7246,5747,1494,1112,4709
2024-06-05 03:30:00,7153,5749,1458,1114,4654
2024-06-05 04:00:00,7082,5762,1443,1110,4599
2024-06-05 04:30:00,7201,5865,1392,1106,4626
2024-06-05 05:00:00,7290,6026,1392,1101,4698
2024-06-05 05:30:00,7609,6289,1372,1126,4900
2024-06-05 06:00:00,7972,6522,1409,1168,5133
2024-06-05 06:30:00,8625,6937,1469,1250,5591
2024-06-05 07:00:00,9322,7212,1578,1338,6103
2024-06-05 07:30:00,9794,7341,1718,1389,6601
2024-06-05 08:00:00,9964,7163,1884,1446,6986
2024-06-05 08:30:00,9960,6763,1936,1470,7133
2024-06-05 09:00:00,9670,6127,1900,1426,7024
2024-06-05 09:30:00,9480,5648,1815,1372,6923
2024-06-05 10:00:00,9113,5166,1618,1328,6642
2024-06-05 10:30:00,8912,4933,1447,1283,6303
2024-06-05 11:00:00,8697,4753,1308,1243,6043
2024-06-05 11:30:00,8292,4699,1179,1207,5840
2024-06-05 12:00:00,7894,4733,1130,1194,5701
2024-06-05 12:30:00,7805,4657,1085,1199,5647
2024-06-05 13:00:00,8036,4671,1038,1195,5714
2024-06-05 13:30:00,8393,4855,962,1197,5893
2024-06-05 14:00:00,8617,5055,976,1196,6029
2024-06-05 14:30:00,8738,5328,1032,1196,6079
2024-06-05 15:00:00,8827,5670,1051,1219,6056
2024-06-05 15:30:00,9123,6073,1115,1241,6098
2024-06-05 16:00:00,9498,6561,1228,1268,6184
2024-06-05 16:30:00,9880,6976,1350,1273,6390
2024-06-05 17:00:00,10342,7391,1533,1324,6789
2024-06-05 17:30:00,10767,7723,1726,1404,7185
2024-06-05 18:00:00,11123,8013,1926,1429,7342
2024-06-05 18:30:00,11114,7895,2048,1437,7472
2024-06-05 19:00:00,10992,7879,2080,1417,7491
2024-06-05 19:30:00,10730,7737,2075,1367,7324
2024-06-05 20:00:00,10503,7554,2045,1347,7182
2024-06-05 20:30:00,10286,7423,2021,1331,7000
2024-06-05 21:00:00,10035,7307,1983,1337,6753
2024-06-05 21:30:00,9756,7161,1938,1304,6566
2024-06-05 22:00:00,9415,6855,1863,1271,6304
2024-06-05 22:30:00,9167,6651,1768,1221,5969
2024-06-05 23:00:00,8894,6484,1687,1216,5740
2024-06-05 23:30:00,8632,6254,1607,1192,5700
2024-06-06 00:00:00,8454,6154,1627,1162,5578
2024-06-06 00:30:00,8293,5996,1621,1112,5400
2024-06-06 01:00:00,8092,5823,1657,1100,5248
2024-06-06 01:30:00,7839,5710,1612,1083,5088
2024-06-06 02:00:00,7567,5652,1564,1084,4942
2024-06-06 02:30:00,7328,5600,1523,1084,4857
2024-06-06 03:00:00,7115,5544,1470,1082,4742
2024-06-06 03:30:00,7038,5553,1452,1094,4697
2024-06-06 04:00:00,7010,5547,1402,1098,4685
2024-06-06 04:30:00,7085,5618,1413,1112,4713
2024-06-06 05:00:00,7209,5764,1404,1125,4786
2024-06-06 05:30:00,7487,5944,1378,1153,4975
2024-06-06 06:00:00,7809,6217,1395,1192,5206
2024-06-06 06:30:00,8388,6637,1448,1276,5617
2024-06-06 07:00:00,9038,6862,1566,1384,6074
2024-06-06 07:30:00,9506,6978,1687,1476,6535
2024-06-06 08:00:00,9683,6788,1818,1536,6719
2024-06-06 08:30:00,9427,6322,1876,1546,6716
2024-06-06 09:00:00,9154,5786,1825,1489,6745
2024-06-06 09:30:00,8943,5348,1724,1419,6685
2024-06-06 10:00:00,8602,5006,1602,1363,6380
2024-06-06 10:30:00,8472,4818,1494,1337,6113
2024-06-06 11:00:00,8439,4657,1417,1279,5841
2024-06-06 11:30:00,8381,4589,1324,1156,5494
2024-06-06 12:00:00,8418,4570,1282,1187,5123
2024-06-06 12:30:00,8505,4459,1327,1171,4880
2024-06-06 13:00:00,8566,4447,1335,1159,4754
2024-06-06 13:30:00,8720,4528,1363,1150,4767
2024-06-06 14:00:00,8831,4773,1334,1163,4820
2024-06-06 14:30:00,8850,5036,1303,1172,4866
2024-06-06 15:00:00,9022,5420,1289,1190,5051
2024-06-06 15:30:00,9260,5788,1314,1232,5283
2024-06-06 16:00:00,9680,6258,1333,1286,5571
2024-06-06 16:30:00,10057,6669,1394,1341,5962
2024-06-06 17:00:00,10453,7050,1550,1392,6350
2024-06-06 17:30:00,10800,7480,1765,1446,6764
2024-06-06 18:00:00,11087,7782,1922,1476,7127
2024-06-06 18:30:00,11072,7746,2070,1469,7166
2024-06-06 19:00:00,10980,7687,2110,1472,7107
2024-06-06 19:30:00,10792,7609,2104,1455,7020
2024-06-06 20:00:00,10592,7457,2086,1435,6934
2024-06-06 20:30:00,10393,7282,2069,1393,6786
2024-06-06 21:00:00,10146,7250,2046,1369,6610
2024-06-06 21:30:00,9808,7092,2005,1335,6378
2024-06-06 22:00:00,9483,6808,1943,1301,6156
2024-06-06 22:30:00,9267,6591,1847,1257,5868
2024-06-06 23:00:00,9006,6361,1743,1219,5624
2024-06-06 23:30:00,8740,6147,1662,1182,5593
2024-06-07 00:00:00,8540,5979,1692,1148,5521
2024-06-07 00:30:00,8349,5823,1707,1137,5331
2024-06-07 01:00:00,8092,5722,1690,1124,5195
2024-06-07 01:30:00,7850,5605,1618,1136,5078
2024-06-07 02:00:00,7595,5581,1567,1147,4902
2024-06-07 02:30:00,7406,5567,1574,1141,4798
2024-06-07 03:00:00,7209,5540,1501,1140,4721
2024-06-07 03:30:00,7078,5549,1461,1145,4655
2024-06-07 04:00:00,7165,5614,1427,1142,4623
2024-06-07 04:30:00,7091,5709,1392,1156,4686
2024-06-07 05:00:00,7162,5852,1356,1160,4742
2024-06-07 05:30:00,7398,6082,1377,1189,4912
2024-06-07 06:00:00,7770,6385,1379,1236,5151
2024-06-07 06:30:00,8302,6841,1433,1292,5525
2024-06-07 07:00:00,8908,7150,1529,1361,5999
2024-06-07 07:30:00,9398,7269,1616,1421,6437
2024-06-07 08:00:00,9675,6994,1750,1481,6798
2024-06-07 08:30:00,9726,6471,1782,1474,6862
2024-06-07 09:00:00,9580,5946,1727,1440,6664
2024-06-07 09:30:00,9384,5445,1607,1410,6487
2024-06-07 10:00:00,9091,5005,1525,1389,6218
2024-06-07 10:30:00,8956,4775,1414,1366,5961
2024-06-07 11:00:00,8693,4646,1383,1326,5729
2024-06-07 11:30:00,8407,4565,1376,1294,5647
2024-06-07 12:00:00,8339,4548,1378,1257,5523
2024-06-07 12:30:00,8294,4440,1374,1229,5365
2024-06-07 13:00:00,8156,4342,1374,1195,5257
2024-06-07 13:30:00,8067,4411,1377,1186,5171
2024-06-07 14:00:00,8011,4555,1410,1182,5118
2024-06-07 14:30:00,8039,4841,1377,1199,5184
2024-06-07 15:00:00,8198,5200,1405,1207,5318
2024-06-07 15:30:00,8439,5606,1461,1217,5511
2024-06-07 16:00:00,8875,6144,1514,1241,5749
2024-06-07 16:30:00,9362,6746,1602,1280,6104
2024-06-07 17:00:00,9848,7262,1737,1341,6481
2024-06-07 17:30:00,10230,7688,1884,1407,6753
2024-06-07 18:00:00,10462,7952,1980,1444,6956
2024-06-07 18:30:00,10393,7843,2055,1443,6977
2024-06-07 19:00:00,10273,7799,2058,1437,6890
2024-06-07 19:30:00,10085,7688,2022,1431,6770
2024-06-07 20:00:00,9896,7582,1987,1420,6663
2024-06-07 20:30:00,9761,7539,1955,1415,6511
2024-06-07 21:00:00,9594,7487,1922,1393,6358
2024-06-07 21:30:00,9346,7308,1876,1377,6212
2024-06-07 22:00:00,9083,7028,1816,1345,6005
2024-06-07 22:30:00,8954,6766,1741,1315,5766
2024-06-07 23:00:00,8780,6558,1660,1295,5599
2024-06-07 23:30:00,8581,6348,1605,1267,5568
2024-06-08 00:00:00,8395,6150,1646,1198,5450
2024-06-08 00:30:00,8183,5981,1667,1209,5253
2024-06-08 01:00:00,8043,5820,1680,1187,5096
2024-06-08 01:30:00,7794,5719,1618,1180,4886
2024-06-08 02:00:00,7491,5655,1557,1170,4770
2024-06-08 02:30:00,7276,5582,1516,1172,4619
2024-06-08 03:00:00,7153,5517,1466,1170,4506
2024-06-08 03:30:00,6981,5500,1402,1161,4485
2024-06-08 04:00:00,6913,5496,1373,1164,4420
2024-06-08 04:30:00,6921,5565,1361,1169,4419
2024-06-08 05:00:00,6903,5666,1352,1170,4445
2024-06-08 05:30:00,6986,5749,1320,1194,4482
2024-06-08 06:00:00,7098,5850,1350,1207,4613
2024-06-08 06:30:00,7352,6093,1342,1222,4781
2024-06-08 07:00:00,7612,6261,1377,1261,4989
2024-06-08 07:30:00,7952,6327,1398,1299,5226
2024-06-08 08:00:00,8085,6119,1454,1343,5463
2024-06-08 08:30:00,8159,5846,1496,1403,5629
2024-06-08 09:00:00,8086,5423,1520,1433,5633
2024-06-08 09:30:00,7967,4983,1511,1413,5559
2024-06-08 10:00:00,7604,4586,1483,1369,5413
2024-06-08 10:30:00,7262,4438,1377,1340,5209
2024-06-08 11:00:00,7101,4276,1392,1299,5102
2024-06-08 11:30:00,6951,4132,1291,1262,4958
2024-06-08 12:00:00,6622,4097,1211,1232,4952
2024-06-08 12:30:00,6495,4001,1177,1200,5098
2024-06-08 13:00:00,6277,3943,1195,1157,5130
2024-06-08 13:30:00,6168,4042,1091,1165,5146
2024-06-08 14:00:00,6244,4268,1270,1161,5193
2024-06-08 14:30:00,6460,4551,1346,1184,5255
2024-06-08 15:00:00,6712,4931,1415,1200,5321
2024-06-08 15:30:00,7117,5408,1479,1228,5437
2024-06-08 16:00:00,7550,5946,1570,1272,5661
2024-06-08 16:30:00,8133,6419,1636,1331,5876
2024-06-08 17:00:00,8738,6871,1717,1388,6171
2024-06-08 17:30:00,9194,7220,1782,1451,6455
2024-06-08 18:00:00,9480,7449,1855,1482,6610
2024-06-08 18:30:00,9469,7388,1959,1479,6611
2024-06-08 19:00:00,9355,7299,1949,1461,6498
2024-06-08 19:30:00,9199,7197,1932,1448,6338
2024-06-08 20:00:00,9048,7090,1891,1434,6229
2024-06-08 20:30:00,8939,7082,1852,1421,6110
2024-06-08 21:00:00,8834,7115,1814,1400,5951
2024-06-08 21:30:00,8706,6972,1786,1380,5827
2024-06-08 22:00:00,8537,6715,1726,1325,5683
2024-06-08 22:30:00,8437,6540,1670,1298,5465
2024-06-08 23:00:00,8293,6350,1603,1258,5325
2024-06-08 23:30:00,8158,6203,1543,1228,5354
2024-06-09 00:00:00,8036,6038,1595,1205,5284
2024-06-09 00:30:00,7886,5873,1606,1181,5066
2024-06-09 01:00:00,7639,5729,1592,1166,4900
2024-06-09 01:30:00,7442,5695,1536,1153,4759
2024-06-09 02:00:00,7183,5594,1499,1122,4599
2024-06-09 02:30:00,6952,5551,1450,1136,4442
2024-06-09 03:00:00,6782,5514,1418,1146,4341
2024-06-09 03:30:00,6650,5518,1375,1143,4278
2024-06-09 04:00:00,6626,5490,1351,1134,4248
2024-06-09 04:30:00,6695,5532,1365,1140,4236
2024-06-09 05:00:00,6689,5550,1339,1148,4176
2024-06-09 05:30:00,6748,5617,1313,1171,4249
2024-06-09 06:00:00,6862,5745,1240,1183,4286
2024-06-09 06:30:00,7066,5917,1306,1179,4444
2024-06-09 07:00:00,7310,6006,1325,1202,4584
2024-06-09 07:30:00,7596,6029,1363,1233,4758
2024-06-09 08:00:00,7773,5841,1409,1284,4986
2024-06-09 08:30:00,7892,5584,1451,1341,5220
2024-06-09 09:00:00,7726,5208,1421,1357,5339
2024-06-09 09:30:00,7475,4817,1307,1376,5438
2024-06-09 10:00:00,7058,4467,1221,1368,5426
2024-06-09 10:30:00,6627,4396,1189,1353,5351
2024-06-09 11:00:00,6373,4482,1067,1303,5163
2024-06-09 11:30:00,6049,4160,1004,1259,5126
2024-06-09 12:00:00,5725,4156,927,1228,5059
2024-06-09 12:30:00,5618,3968,844,1207,5029
2024-06-09 13:00:00,5556,3967,740,1190,4936
2024-06-09 13:30:00,5605,4152,719,1180,4935
2024-06-09 14:00:00,5831,4624,766,1177,4908
2024-06-09 14:30:00,6095,4779,855,1167,5023
2024-06-09 15:00:00,6471,5017,924,1205,5159
2024-06-09 15:30:00,6996,5608,1018,1228,5328
2024-06-09 16:00:00,7549,5974,1125,1268,5485
2024-06-09 16:30:00,8211,6387,1222,1311,5765
2024-06-09 17:00:00,8761,6895,1361,1354,6049
2024-06-09 17:30:00,9198,7394,1542,1413,6333
2024-06-09 18:00:00,9537,7621,1682,1443,6531
2024-06-09 18:30:00,9612,7584,1839,1457,6582
2024-06-09 19:00:00,9562,7508,1869,1438,6508
2024-06-09 19:30:00,9402,7337,1858,1419,6375
2024-06-09 20:00:00,9287,7183,1836,1380,6272
2024-06-09 20:30:00,9174,7117,1816,1392,6153
2024-06-09 21:00:00,9064,7102,1780,1379,6006
2024-06-09 21:30:00,8866,6905,1733,1362,5905
2024-06-09 22:00:00,8664,6633,1676,1339,5755
2024-06-09 22:30:00,8557,6374,1626,1296,5571
2024-06-09 23:00:00,8391,6227,1558,1266,5404
2024-06-09 23:30:00,8189,6075,1500,1242,5436
2024-06-10 00:00:00,8063,5910,1538,1221,5307
2024-06-10 00:30:00,7853,5795,1510,1199,5116
2024-06-10 01:00:00,7665,5711,1489,1187,4961
2024-06-10 01:30:00,7445,5637,1433,1176,4812
2024-06-10 02:00:00,7225,5618,1394,1170,4636
2024-06-10 02:30:00,7041,5610,1340,1187,4541
2024-06-10 03:00:00,6924,5597,1298,1180,4442
2024-06-10 03:30:00,6826,5610,1260,1185,4398
2024-06-10 04:00:00,6918,5618,1240,1187,4386
2024-06-10 04:30:00,6906,5717,1287,1186,4382
2024-06-10 05:00:00,6920,5874,1255,1197,4412
2024-06-10 05:30:00,7039,6159,1240,1212,4522
2024-06-10 06:00:00,7144,6450,1232,1230,4640
2024-06-10 06:30:00,7421,6887,1244,1240,4842
2024-06-10 07:00:00,7697,7188,1280,1268,5064
2024-06-10 07:30:00,7977,7362,1313,1291,5287
2024-06-10 08:00:00,8082,7073,1366,1355,5546
2024-06-10 08:30:00,8052,6503,1408,1381,5724
2024-06-10 09:00:00,7896,6002,1415,1398,5646
2024-06-10 09:30:00,7628,5524,1407,1385,5476
2024-06-10 10:00:00,7140,5142,1320,1358,5157
2024-06-10 10:30:00,6766,5019,1251,1328,4807
2024-06-10 11:00:00,6488,4817,1302,1294,4504
2024-06-10 11:30:00,6258,4721,1254,1261,4218
2024-06-10 12:00:00,6249,4580,1095,1261,4024
2024-06-10 12:30:00,6461,4514,916,1253,3926
2024-06-10 13:00:00,6395,4457,949,1246,3914
2024-06-10 13:30:00,6216,4544,1111,1234,3932
2024-06-10 14:00:00,6290,4727,1162,1237,4045
2024-06-10 14:30:00,6452,4983,1216,1252,4252
2024-06-10 15:00:00,6796,5281,1188,1270,4614
2024-06-10 15:30:00,7303,5685,1238,1302,5101
2024-06-10 16:00:00,7844,6235,1331,1348,5471
2024-06-10 16:30:00,8546,6734,1428,1406,5760
2024-06-10 17:00:00,9286,7220,1527,1490,6245
2024-06-10 17:30:00,10118,7706,1643,1534,6738
2024-06-10 18:00:00,10598,8011,1766,1575,6992
2024-06-10 18:30:00,10670,7952,1805,1562,7073
2024-06-10 19:00:00,10566,7883,1815,1549,7002
2024-06-10 19:30:00,10373,7757,1791,1529,6883
2024-06-10 20:00:00,10177,7625,1777,1512,6733
2024-06-10 20:30:00,10066,7468,1727,1491,6569
2024-06-10 21:00:00,9838,7383,1682,1455,6417
2024-06-10 21:30:00,9520,7221,1645,1427,6216
2024-06-10 22:00:00,9189,7006,1591,1391,5907
2024-06-10 22:30:00,8966,6786,1531,1351,5667
2024-06-10 23:00:00,8780,6559,1488,1291,5431
2024-06-10 23:30:00,8569,6364,1445,1245,5419
2024-06-11 00:00:00,8388,6213,1505,1230,5346
2024-06-11 00:30:00,8228,6074,1507,1217,5161
2024-06-11 01:00:00,8074,5933,1515,1214,5006
2024-06-11 01:30:00,7888,5792,1485,1201,4832
2024-06-11 02:00:00,7659,5746,1475,1190,4676
2024-06-11 02:30:00,7441,5760,1432,1184,4562
2024-06-11 03:00:00,7268,5710,1407,1185,4457
2024-06-11 03:30:00,7224,5771,1421,1188,4422
2024-06-11 04:00:00,7250,5808,1394,1191,4390
2024-06-11 04:30:00,7254,5912,1366,1189,4429
2024-06-11 05:00:00,7455,6056,1331,1208,4475
2024-06-11 05:30:00,7767,6284,1315,1242,4673
2024-06-11 06:00:00,8144,6577,1324,1284,4957
