"Time","OPERATIONAL_DEMAND NSW1","OPERATIONAL_DEMAND QLD1","OPERATIONAL_DEMAND SA1","OPERATIONAL_DEMAND TAS1","OPERATIONAL_DEMAND VIC1"
2024-06-01 00:00:00,7999,6031,1627,1193,5308
2024-06-01 00:30:00,7795,5872,1602,1166,5122
2024-06-01 01:00:00,7632,5760,1615,1153,4941
2024-06-01 01:30:00,7437,5671,1563,1144,4811
2024-06-01 02:00:00,7190,5603,1507,1137,4673
2024-06-01 02:30:00,6974,5605,1456,1141,4533
2024-06-01 03:00:00,6814,5598,1414,1133,4445
2024-06-01 03:30:00,6711,5604,1369,1125,4403
2024-06-01 04:00:00,6676,5640,1352,1124,4378
2024-06-01 04:30:00,6672,5612,1390,1127,4375
2024-06-01 05:00:00,6736,5608,1362,1125,4426
2024-06-01 05:30:00,6782,5643,1339,1129,4497
2024-06-01 06:00:00,6885,5671,1346,1169,4596
2024-06-01 06:30:00,7046,5778,1377,1198,4791
2024-06-01 07:00:00,7344,5876,1408,1227,4980
2024-06-01 07:30:00,7621,5983,1455,1271,5223
2024-06-01 08:00:00,7941,6034,1517,1321,5492
2024-06-01 08:30:00,8287,6166,1555,1342,5624
2024-06-01 09:00:00,8330,6282,1508,1333,5570
2024-06-01 09:30:00,8482,6116,1365,1338,5380
2024-06-01 10:00:00,8608,6018,1194,1309,5131
2024-06-01 10:30:00,8682,5911,1054,1279,4948
2024-06-01 11:00:00,8725,6161,930,1231,4753
2024-06-01 11:30:00,8711,6179,846,1211,4598
2024-06-01 12:00:00,8792,6241,839,1196,4448
2024-06-01 12:30:00,8947,6252,860,1178,4405
2024-06-01 13:00:00,9025,6093,908,1174,4435
2024-06-01 13:30:00,9086,6086,907,1171,4482
2024-06-01 14:00:00,9061,6253,946,1175,4602
2024-06-01 14:30:00,9066,6350,1016,1185,4694
2024-06-01 15:00:00,9120,6471,1068,1194,4817
2024-06-01 15:30:00,9155,6629,1149,1229,5029
2024-06-01 16:00:00,9304,6804,1205,1252,5279
2024-06-01 16:30:00,9525,6917,1266,1275,5582
2024-06-01 17:00:00,9850,7162,1401,1335,5958
2024-06-01 17:30:00,10049,7405,1594,1397,6294
2024-06-01 18:00:00,10201,7499,1788,1441,6583
2024-06-01 18:30:00,10128,7387,1928,1415,6633
2024-06-01 19:00:00,9929,7228,1954,1401,6587
2024-06-01 19:30:00,9743,7075,1941,1376,6470
2024-06-01 20:00:00,9554,6994,1914,1379,6343
2024-06-01 20:30:00,9416,7003,1887,1389,6219
2024-06-01 21:00:00,9266,6835,1860,1375,6133
2024-06-01 21:30:00,9092,6689,1825,1357,6002
2024-06-01 22:00:00,8869,6478,1768,1329,5846
2024-06-01 22:30:00,8742,6323,1705,1301,5710
2024-06-01 23:00:00,8572,6194,1634,1272,5537
2024-06-01 23:30:00,8362,6031,1565,1240,5537
2024-06-02 00:00:00,8176,5925,1601,1211,5407
2024-06-02 00:30:00,7981,5796,1594,1195,5254
2024-06-02 01:00:00,7768,5702,1581,1182,5096
2024-06-02 01:30:00,7519,5666,1531,1174,4935
2024-06-02 02:00:00,7266,5592,1489,1169,4764
2024-06-02 02:30:00,7067,5503,1452,1170,4656
2024-06-02 03:00:00,6907,5491,1416,1169,4526
2024-06-02 03:30:00,6859,5455,1392,1167,4529
2024-06-02 04:00:00,6806,5432,1341,1169,4457
2024-06-02 04:30:00,6795,5473,1374,1173,4457
2024-06-02 05:00:00,6790,5452,1341,1181,4439
2024-06-02 05:30:00,6847,5474,1334,1193,4525
2024-06-02 06:00:00,6914,5529,1345,1208,4595
2024-06-02 06:30:00,7135,5675,1357,1235,4781
2024-06-02 07:00:00,7354,5726,1363,1260,4935
2024-06-02 07:30:00,7596,5849,1387,1268,5155
2024-06-02 08:00:00,7761,5692,1479,1329,5363
2024-06-02 08:30:00,7826,5530,1526,1373,5552
2024-06-02 09:00:00,7741,5241,1467,1397,5575
2024-06-02 09:30:00,7571,4895,1336,1414,5531
2024-06-02 10:00:00,7229,4541,1178,1395,5388
2024-06-02 10:30:00,7067,4389,1045,1362,5332
2024-06-02 11:00:00,6933,4238,907,1331,5158
2024-06-02 11:30:00,6992,4142,800,1317,5035
2024-06-02 12:00:00,7121,4188,717,1291,5093
2024-06-02 12:30:00,7247,4095,626,1255,5069
2024-06-02 13:00:00,7407,4009,599,1230,5122
2024-06-02 13:30:00,7587,4085,563,1201,5182
2024-06-02 14:00:00,7732,4316,570,1207,4925
2024-06-02 14:30:00,7741,4610,598,1241,4912
2024-06-02 15:00:00,7821,4977,658,1270,5059
2024-06-02 15:30:00,8106,5450,773,1281,5193
2024-06-02 16:00:00,8516,5972,958,1321,5453
2024-06-02 16:30:00,8963,6447,1186,1361,5774
2024-06-02 17:00:00,9460,6873,1414,1415,6195
2024-06-02 17:30:00,9933,7256,1694,1490,6615
2024-06-02 18:00:00,10232,7480,1893,1530,6964
2024-06-02 18:30:00,10253,7475,2057,1529,7000
2024-06-02 19:00:00,10149,7374,2090,1516,6916
2024-06-02 19:30:00,9990,7213,2095,1492,6794
2024-06-02 20:00:00,9807,7159,2070,1454,6680
2024-06-02 20:30:00,9644,7147,2026,1439,6502
2024-06-02 21:00:00,9416,6940,1989,1405,6315
2024-06-02 21:30:00,9150,6760,1925,1367,6107
2024-06-02 22:00:00,8790,6498,1845,1351,5863
2024-06-02 22:30:00,8559,6284,1748,1316,5556
2024-06-02 23:00:00,8325,6135,1651,1273,5313
2024-06-02 23:30:00,8106,5981,1555,1244,5310
2024-06-03 00:00:00,7925,5851,1579,1218,5210
2024-06-03 00:30:00,7738,5762,1605,1201,5060
2024-06-03 01:00:00,7585,5650,1574,1186,4916
2024-06-03 01:30:00,7364,5564,1523,1152,4811
2024-06-03 02:00:00,7164,5503,1500,1168,4684
2024-06-03 02:30:00,6988,5476,1469,1172,4612
2024-06-03 03:00:00,6885,5486,1436,1174,4558
2024-06-03 03:30:00,6932,5445,1404,1174,4560
2024-06-03 04:00:00,6902,5454,1370,1173,4524
2024-06-03 04:30:00,6955,5580,1360,1177,4576
2024-06-03 05:00:00,7051,5711,1344,1192,4620
2024-06-03 05:30:00,7351,5916,1360,1213,4824
2024-06-03 06:00:00,7725,6163,1415,1251,5088
2024-06-03 06:30:00,8404,6574,1495,1317,5597
2024-06-03 07:00:00,9111,6854,1645,1397,6116
2024-06-03 07:30:00,9639,6894,1786,1483,6654
2024-06-03 08:00:00,9788,6611,1942,1531,7085
2024-06-03 08:30:00,9448,6205,1991,1552,7255
2024-06-03 09:00:00,8955,5711,1975,1544,7115
2024-06-03 09:30:00,8700,5290,1941,1504,6994
2024-06-03 10:00:00,8334,4905,1920,1471,6670
2024-06-03 10:30:00,7964,4750,1837,1457,6430
2024-06-03 11:00:00,7492,4583,1766,1429,6235
2024-06-03 11:30:00,7163,4492,1773,1404,6163
2024-06-03 12:00:00,7123,4459,1660,1365,6061
2024-06-03 12:30:00,7334,4395,1672,1364,5993
2024-06-03 13:00:00,7467,4348,1612,1360,5943
2024-06-03 13:30:00,7665,4447,1578,1243,5829
